,model,prompting_technique,accuracy,precision,recall,f1
0,gemma,cot,0.23660714285714285,0.5681498075925286,0.23660714285714285,0.2778896827809871
1,gemma,cot,0.23660714285714285,0.5681498075925286,0.23660714285714285,0.2778896827809871
2,mistral,cot,0.3360323886639676,0.41540346848348625,0.3360323886639676,0.34380498591175096
3,mistral,cot,0.3360323886639676,0.41540346848348625,0.3360323886639676,0.34380498591175096
4,openchat,cot,0.3004484304932735,0.519401508870976,0.3004484304932735,0.3117053893456454
5,openchat,cot,0.3004484304932735,0.519401508870976,0.3004484304932735,0.3117053893456454
6,gemma,cot-sc,0.24107142857142858,0.6006526503048288,0.24107142857142858,0.2866760229289344
7,gemma,cot-sc,0.24107142857142858,0.6006526503048288,0.24107142857142858,0.2866760229289344
8,mistral,cot-sc,0.41409691629955947,0.4945406384487658,0.41409691629955947,0.4305301686651193
9,mistral,cot-sc,0.41409691629955947,0.4945406384487658,0.41409691629955947,0.4305301686651193
10,openchat,cot-sc,0.273542600896861,0.5595101782876769,0.273542600896861,0.2933285135696989
11,openchat,cot-sc,0.273542600896861,0.5595101782876769,0.273542600896861,0.2933285135696989
12,gemma,rar-1,0.44214876033057854,0.47266717435802696,0.44214876033057854,0.4427381533716848
13,gemma,rar-1,0.44214876033057854,0.47266717435802696,0.44214876033057854,0.4427381533716848
14,mistral,rar-1,0.508695652173913,0.3760975087862258,0.508695652173913,0.4195724876048818
15,mistral,rar-1,0.508695652173913,0.3760975087862258,0.508695652173913,0.4195724876048818
16,openchat,rar-1,0.44155844155844154,0.45894852896627,0.44155844155844154,0.41644006786863935
17,openchat,rar-1,0.44155844155844154,0.45894852896627,0.44155844155844154,0.41644006786863935
18,gemma,rar-2,0.4031620553359684,0.43108406744770383,0.4031620553359684,0.4101186252974972
19,gemma,rar-2,0.4031620553359684,0.43108406744770383,0.4031620553359684,0.4101186252974972
20,mistral,rar-2,0.46835443037974683,0.3618355131278299,0.46835443037974683,0.385866609112217
21,mistral,rar-2,0.46835443037974683,0.3618355131278299,0.46835443037974683,0.385866609112217
22,openchat,rar-2,0.43873517786561267,0.43533627208068953,0.43873517786561267,0.42331871655497744
23,openchat,rar-2,0.43873517786561267,0.43533627208068953,0.43873517786561267,0.42331871655497744
24,gemma,tot,0.27232142857142855,0.4227463008385651,0.27232142857142855,0.2963544160653602
25,gemma,tot,0.27232142857142855,0.4227463008385651,0.27232142857142855,0.2963544160653602
26,mistral,tot,0.37339055793991416,0.4416384138347191,0.37339055793991416,0.39123664191475344
27,mistral,tot,0.37339055793991416,0.4416384138347191,0.37339055793991416,0.39123664191475344
28,openchat,tot,0.26222222222222225,0.5457690779429909,0.26222222222222225,0.2987743259016826
29,openchat,tot,0.26222222222222225,0.5457690779429909,0.26222222222222225,0.2987743259016826
